Feature-1,Feature-2,Feature-3,Feature-4,Target
-0.211790223,,-1.312465707,-1.856351172,-0.712235965
-0.295452466,-0.02240815,1.13389244,-0.193121679,-1.427103217
1.495497262,-0.117595195,1.700244604,0.119691059,-2.496128036
-0.555605831,1.010464208,0.20061843,1.047822104,0.538498634
0.886668652,0.399152552,1.03502012,0.008974634,-0.49084383
-2.370574966,-0.728005049,-0.763673774,-0.57637503,0.679274707
-0.011247584,-0.006722094,-0.022521337,-1.583995163,-1.15149071
-1.722958714,-0.318419669,-2.543937772,0.752077014,-0.428353342
1.467504765,1.53025928,1.107077638,0.783042694,1.295617254
-1.090182222,-2.166323049,1.593199639,-0.243683559,-0.869884953
1.420899793,-0.578956561,-0.229030221,0.960937974,0.773250529
0.369144288,0.042077022,0.771066842,2.485188668,0.297997683
-0.185306513,0.267368754,0.021785965,0.228952364,-1.08095822
0.422232413,0.135152812,-1.160675427,-0.100870196,-0.437945609
-0.428161216,0.769059822,0.944831074,0.345268971,-0.057569986
0.042067213,-1.113492199,-2.253766027,0.092295545,-0.359554728
2.347557981,-0.654007954,-1.535838064,-0.578205328,-0.720705071
1.307735866,-0.721894593,-0.393072763,0.790322927,0.586330335
1.176128558,-0.879017123,1.082250902,-0.166086774,-0.466347319
-0.394217865,1.730910247,0.744329665,0.220210786,0.214899055
-0.191618548,,-0.020711337,,1.546623647
-0.87390907,0.671772525,1.210767896,-0.555879826,0.428428309
0.042315773,0.48589737,1.61713031,0.375452818,-2.119470874
-0.585358165,-0.271228107,-0.268784484,0.009551647,1.444269925
-1.757066038,2.743910584,-1.274065573,-1.036823832,0.748138299
0.210616456,0.282947888,-0.247138119,0.840376353,-0.344989657
1.009575608,2.310374979,-1.481001904,-0.002309353,0.618689274
0.914604093,1.652602531,0.515207989,-0.452697438,0.103273056
0.433340952,-0.110315502,0.366019455,0.232743805,-0.625287364
1.533187873,-2.866720173,0.515790826,2.52732855,0.327413647
0.343828127,-0.44952718,-0.645855984,-0.133905048,-0.683484694
1.013825807,0.694565698,-0.392301627,-0.618811429,0.249714033
0.494223409,0.388125784,-0.06902195,0.171084811,-0.779127471
1.069121177,0.822863093,2.215943322,-1.025649211,-1.705977775
-1.880964542,-0.088960877,-1.750732704,1.657237992,-1.297681667
0.230864141,0.94898221,-0.763150067,2.611425668,0.63089147
-1.315696833,,-0.910684369,-1.814015261,-1.741337152
-0.114536002,0.98518473,1.802818953,-0.596574902,-0.085207054
0.227030435,0.81252493,0.198533968,0.957049547,0.057609762
0.483752175,0.490724397,-0.921193716,-0.07169916,-1.504085337
-0.362993672,0.147446897,-0.415270981,-0.166534535,-0.098085061
-0.114026522,0.646208843,1.301157147,-0.680794683,0.364352375
-0.883282987,-0.296981595,-1.72760397,,0.270837832
-0.679184687,-1.049385434,-0.032078967,-0.529979418,-1.791220971
-0.571347072,0.451785174,0.68156999,-0.211434204,0.195824081
1.863010122,1.332664896,-0.365149005,-0.365471823,0.986196785
0.847786022,-1.485019535,-0.601870383,-2.250263334,-2.409316247
-0.72498786,0.898034397,0.7640544,1.209318214,-1.096233475
-1.004494769,-1.292695085,1.635387134,2.028797782,1.13368858
-0.419481012,0.370477623,2.300127973,0.26437798,-1.098915869
-1.25674836,0.06911259,-0.662340664,1.448495642,-1.318007191
0.541404879,-0.598284503,0.678496671,-1.181380557,-0.449968798
-0.471732614,-0.288168253,-0.738891194,-1.244966482,-0.994790678
0.257917744,0.470340861,0.821533571,0.902843854,-0.222674622
-1.314084433,-0.472040013,0.474154484,-3.277642718,0.291273233
-1.156310711,1.334788698,0.437824414,-1.134622948,-0.262265371
-1.912066188,-0.344455262,0.688880219,0.030767942,-1.199354559
0.271916963,0.4310357,-1.15878058,0.161409986,0.290269406
-0.749998302,0.068066446,0.472452789,-1.081061521,0.782771025
-0.28460335,0.633039876,-0.32057071,0.276751972,-0.403395246
0.198937517,-0.71989485,-0.108278409,1.624564115,-0.026626343
0.947828005,-1.441566237,-0.286356604,0.503638615,-2.082478311
-1.113513255,1.480251768,0.523273032,0.680755268,-0.416309542
-0.018286344,-1.309656334,-0.2501037,0.929915011,-0.643202204
0.211694659,-0.032158335,-0.300559326,1.334343807,-0.043525245
-0.285593584,0.047277823,-0.494910568,-0.180919019,1.821064577
-0.487402752,0.860915685,-0.409669833,-0.158275705,-0.164003474
0.034124859,1.150272427,-1.378887007,-0.032146107,-0.656908518
,-0.29885,-0.567853076,-0.63999695,0.406862641
1.181909547,1.194518509,-1.096222459,0.666621857,0.513348811
-0.131539695,0.243200288,0.821558321,-0.173019504,-0.903155176
-0.515616741,0.777421662,-0.750651544,-0.16985225,0.754462363
0.044106695,0.420680458,0.457239928,-1.397356795,1.432085671
-1.139494909,-0.197240932,0.965195341,-1.534256976,-1.970161514
-0.423107582,-0.216794069,1.373897327,0.560868699,1.080492742
-0.147886019,0.332243016,-0.857359023,0.324141538,0.443589244
1.404756477,0.452840065,1.298134353,0.190770574,-1.340221935
-0.798376513,0.482789044,0.009921852,0.457782921,-0.171018339
-0.519617811,-1.321918341,-0.097446418,1.079020879,-1.327269293
-0.324979273,0.51591692,0.175195056,-0.638759033,0.022715269
0.917287553,-0.531813901,0.361684527,-1.299203617,1.164962602
-0.460111843,-0.764588048,-0.963241617,-1.81735294,0.279890238
0.325190302,-0.425675703,-0.02141535,-0.629625096,0.398200269
0.323832809,1.350628311,2.44918318,2.49334259,-0.525490137
-0.256726303,0.132682567,0.356446158,-0.776651893,1.068332366
1.930589095,2.624711664,0.921518431,-0.936892937,1.068433147
0.485470332,0.403392427,0.008735586,-1.422281388,0.080099484
0.839223995,0.319577007,-0.084460652,0.314028405,-0.721529399
1.015171943,-1.725071763,0.396240055,-0.09888038,1.143956532
-0.129565859,0.404790709,-0.097633258,-0.43714,-1.224623927
-0.529074021,-0.675739514,0.263059724,0.393470391,-1.062540547
-0.076547364,-0.236317269,-0.63799655,0.037645437,1.060941422
0.021263981,1.100522454,0.850525433,0.976389671,1.137041541
0.394325876,0.833092249,,0.912683317,-1.168546274
0.139228919,0.34705152,-1.059435619,0.085459746,0.586132365
0.002992178,-0.52222942,-0.453169013,-1.27320728,1.398014518
-0.985399061,,-0.960151313,0.172378808,-0.635673755
0.714599599,1.481019815,-0.67347324,-0.318567212,-0.189185945
0.518590599,-0.777064288,1.256204803,1.311481363,-0.479711815
-0.038785462,1.508716676,0.224892885,1.964463704,1.625476915
-1.424044245,1.01775005,0.588894745,0.033685563,0.044530162
0.531811138,-0.140449891,1.320825607,0.865222516,-0.328637398
-0.37237089,0.347468767,1.794260684,-0.310619971,0.510166588
-1.02822819,0.154509193,-0.587346576,,-0.516550202
-1.568958021,-1.445185604,1.010324675,-0.766834732,-0.782348553
1.266631655,0.461632087,1.331793628,1.923825666,-0.294718113
1.73947519,-1.191197918,1.224349743,0.867742511,1.304536564
-0.030595549,-1.07048654,0.17013369,0.514479729,1.189237873
0.151712459,2.684390995,-2.0175952,,0.005355036
-0.619145672,0.956921612,1.00411177,-0.684639989,0.059064347
-0.150659817,1.062322958,0.824531471,-2.17753436,-0.446262717
1.253709301,-0.706194026,0.13716711,1.037154281,0.914049339
-0.328494458,-0.32209762,0.15187765,0.392547078,-0.388789398
0.067522682,0.777619769,-1.324965857,-0.741128292,1.603334481
0.210992449,1.073604711,0.362961108,-0.118130486,1.077440945
0.86740401,-0.013810768,-0.406168596,,0.222876212
-1.830123733,-0.171148939,1.191798489,-1.010447273,1.473359794
1.562306051,0.059898295,-0.755720467,-0.877264343,0.517741405
-0.478413149,0.176023876,0.996711149,-0.279261129,1.091693489
0.44066271,0.183049203,-1.004140154,-0.235192719,-0.012252813
0.421461066,-1.379729902,-1.262439427,-0.571610827,-0.328073061
-1.682939427,-2.286976911,0.738811429,0.8820347,-0.311917037
0.83753376,-2.016796984,1.287662843,-0.614714653,0.032629525
-1.548385785,1.001890375,-1.191542949,-1.223395804,0.588695024
-1.732149255,,0.378159417,,0.750512574
-1.368809426,-0.912571106,-1.347584344,0.13367057,-0.555789829
1.049314712,-1.276259025,0.562654804,-0.061263533,-1.73771982
0.39320392,0.235062184,0.408293387,0.313527236,-2.284729563
-2.118876851,-0.330413342,-2.060187294,-0.12717545,-1.917990706
0.383198569,0.426101821,0.10716146,0.320547674,-1.097145326
0.327257834,-0.864706394,-0.675192898,-0.40345203,-1.226617366
0.903163565,0.241396648,1.478274817,-1.185984848,-0.074006241
-0.552375623,,1.093288466,1.092068836,-1.082945885
0.906920637,-2.318603598,-0.98025743,-0.393702932,-0.030044776
0.266462392,0.975233667,0.96398463,-1.224646455,0.715563663
-1.163984562,0.496174989,2.732212211,-0.383516389,0.185915454
-1.323670602,1.314835447,-1.135334282,0.481390821,-0.187056502
0.072906877,-0.825208942,1.410252117,-1.161342361,-0.103708756
,-0.511811223,0.158034888,0.609299112,1.19115621
-1.649029081,0.670488391,-0.89302806,1.454217536,0.256057112
0.64976157,-0.57022507,-1.762481037,-1.842608251,0.460783695
0.694788443,0.29113663,0.036460806,0.971253203,-0.030767136
0.057178681,-0.93975157,-1.034682389,-0.277238274,0.317772554
0.430186884,-0.914208383,-1.432470622,0.134990813,1.569797656
1.370649562,-0.35618674,-0.031681895,-0.193890571,-0.094929125
-0.105675424,-0.280353546,-0.018798538,-0.461219908,0.713947792
,0.281425589,-0.40012848,0.448835906,0.100187582
1.569541737,0.596673439,-0.833467563,0.613376218,-1.073562019
0.081745183,-0.498610508,-0.455063937,-1.231377008,0.823410552
-0.734498215,0.256420728,1.025334684,,1.746852236
-0.619418719,1.099066525,-0.29151431,-0.491785832,0.161654985
0.89356388,0.132869965,0.269985541,0.729645858,-1.537622723
0.045347565,-0.463224197,1.022340605,-0.370339735,-0.914253384
-0.190856417,-2.011644033,0.672898942,0.655115484,2.095996102
-0.642396661,1.377141593,0.833279207,-0.115404622,0.855161419
-0.61672464,0.807099366,1.024000761,-1.378708843,-0.940600181
-0.820502086,0.711485178,1.024471931,0.336018891,0.292627785
-1.011601644,1.645915567,0.037397311,-0.239554915,1.246238948
0.870907539,-0.375075918,-1.309120657,0.695297044,0.619328285
-0.505732772,0.342001075,0.516140393,1.23409588,1.572974584
-1.198227454,1.852452683,0.652623857,0.551545794,0.323290759
-0.229359587,-0.486220887,-0.706190714,0.191862321,1.174339705
0.859097703,-0.327441937,-0.044705943,0.117917008,-0.538204615
-0.949436494,0.044335445,0.849745118,-0.390893771,-0.490549961
0.081225787,-0.725494802,-1.392541693,-0.494528026,0.692797146
0.651235404,-0.280253649,-1.583873091,-1.425271347,0.421260093
0.120988066,-0.577460265,0.475132141,0.481599445,1.950639259
-0.98911839,-2.004234652,0.064593039,-0.052735741,0.464538049
-1.040016857,-1.028513094,-0.827541016,0.421938373,2.491567293
0.051791671,-0.615366358,0.231591174,-0.789168136,-0.817051652
0.693726683,-1.997730315,-0.281161,-0.443923385,-1.98756119
0.646399486,-0.661569187,-0.630109351,0.036985095,1.490829161
-0.231098713,-1.358453476,,1.453326847,-1.911152959
1.980112157,-0.629481919,1.582597398,0.784233934,2.105812949
,-0.874026028,-0.185232871,0.68703894,-2.627618627
1.945034378,0.430783696,-1.296287579,-0.217404479,2.216627296
0.942443855,0.076708212,-0.758623487,1.104447628,-1.920734275
1.737070264,0.517249169,0.4161838,0.333294469,0.585456255
-0.098069319,0.100357984,1.471599607,-2.26125717,-0.266078781
-0.125456535,-1.437015307,-0.83508829,-0.790657819,-0.357729821
-1.497720476,-0.749546718,1.37752325,1.126537637,1.304428662
-1.543022623,1.245520706,-0.67610741,0.497183121,-0.363679397
-1.503436176,-1.405809931,0.133636633,-0.105158311,-0.113274782
0.782129191,-1.333364958,0.007594458,-0.721240933,-1.431469507
-1.187912894,2.043630195,0.11349463,0.802840153,-0.386256223
1.554014555,-1.313071946,-1.226507294,0.047494268,0.828067349
-0.727025293,-0.348611216,0.080721456,-0.898613121,0.09462502
-0.499049179,0.557336066,-2.869851948,-0.363342343,0.89558985
-0.585861879,-0.087996679,-1.455886506,-0.586388656,0.48418444
0.901460347,-1.150656687,-1.296647848,0.655238941,0.192434687
-1.620561855,,0.650444425,-1.088544805,0.475115223
1.281947778,-0.729915089,-0.020492364,,1.135308206
0.325368598,1.269247623,-0.856416693,-0.045800834,-0.69254971
0.643950916,2.04660776,0.799586639,-2.217176409,0.198470343
-0.048166249,0.691090201,0.421939007,-0.582442018,-1.318948777
1.556766478,1.236393027,-0.874198502,-0.36140056,-0.517359477
-1.437725004,0.884746819,-0.223188332,0.911592889,-0.359484902
1.176105421,1.843646349,-0.313766052,-0.313759935,1.475039024
0.19101908,0.965403566,-0.829632088,0.069087637,0.504572209
0.266850557,-0.325754483,-0.793814223,-0.56621576,-0.807237856
-0.895822314,-1.181566129,-1.664931519,1.096687925,0.565980504
1.303080793,0.060622525,-0.935837045,-1.929082792,-1.258257327
0.107267518,-1.201114563,-1.562093458,0.964995437,-1.97547289
-0.311589223,1.046869904,0.302059084,-0.04268991,-2.913314013
-1.29919505,-0.458337012,0.801586541,-0.60383723,-1.097782854
0.347083929,0.51974783,0.525938464,-1.600518494,-1.407815915
0.56442694,1.19491344,-2.697884573,-0.946660988,0.2597285
-0.72285193,1.018454072,-0.49520725,0.321307667,-0.461498905
-0.818836793,-0.349498156,0.543877028,0.503459836,1.324606994
-0.230111613,-0.03596306,1.117596395,-1.393458185,0.711443337
-1.436002177,-0.405141557,0.833021582,1.204674804,0.481392849
0.038563112,1.461415363,0.064761864,-0.103493547,-1.387226815
-1.738254284,-1.137337153,2.028446056,1.276576374,1.081357683
1.297328859,0.079699173,-0.673821214,1.619118786,-0.053594339
-1.265507643,0.08154794,-1.242601155,2.101101006,0.382456182
2.344864839,-0.53331337,1.411041103,0.066855724,-0.043198325
0.334343455,0.451442388,0.386312216,0.243130238,0.089290494
1.083888785,-0.26429459,0.119720814,-1.348381378,0.427157961
0.037616998,2.322558806,1.49024395,0.471889372,0.111293717
1.186577001,-0.001520854,-0.060622527,-1.077606028,0.091486857
1.462322962,-0.327418532,-0.065152762,0.768004097,1.173632922
-0.869747113,0.013416348,-0.024437251,1.477301312,0.414029291
-0.589651172,-0.460275961,-0.491690086,0.307326421,-0.056166015
1.78094697,0.234967196,-0.014281478,0.384628794,-1.599181162
1.159807792,-0.012182876,-0.3084029,-0.344157968,-0.784493956
-2.123520928,-1.123493141,-1.856180803,-2.002899393,0.210359708
0.136305007,0.491792968,0.246521408,-1.730666201,-1.475301979
0.763178806,-1.079434467,-1.169639237,-0.026223079,1.405768167
-1.117610545,0.331468171,0.366488255,-0.110036836,-1.445704615
0.480660986,-0.456595194,-1.346220887,1.879741888,0.051190274
-0.908238397,-0.027851842,2.06280721,1.870101532,-0.952245097
2.10358921,0.292406343,-0.594464603,-0.663035222,-0.44877355
-0.017707022,0.701142922,0.022657054,0.90155454,1.918708861
-0.137438449,-0.439814528,0.292900013,-1.341932993,1.088275204
-1.929497752,0.046282519,-0.811386018,1.194914689,0.870716689
-1.426798716,-0.742000003,-0.74687116,-0.726580936,-1.669692995
-1.230866404,0.05997278,-2.024540535,0.265031939,0.917514448
0.311130553,0.295433561,1.030599925,0.602138516,-1.080131937
-1.837563937,0.899198834,1.878019922,0.857575555,-0.516537434
-0.614885226,-0.697063652,0.678988449,1.477399402,0.84382113
0.833291421,-0.246863298,0.974048296,0.436234783,0.191282243
-0.464641542,0.569271263,-0.237618611,-1.770992228,0.631521203
-0.458871846,0.866739276,-0.413298503,0.304202628,0.415627144
0.158718261,1.211218448,-1.958692055,-1.164616136,1.406122046
1.537975471,-0.963448437,1.715995226,-0.121745762,-0.352017348
1.067900826,0.478422457,0.487921637,-0.759190343,-1.81216888
1.281376018,-0.326953957,0.316816166,-0.114771418,-1.050794451
-0.48773464,-0.186448982,-0.838372935,-0.419532453,-0.744881734
0.00531716,1.338438776,-0.097370994,0.180906846,2.574666151
1.788381934,0.398345453,-0.883118632,1.017154299,0.003935895
0.414976188,-1.067658597,-0.772039299,1.672640548,0.370031293
-0.659727463,-0.017534669,1.43611462,1.931798694,-0.357146795
0.997713361,-1.163934079,-1.40335851,-0.565538027,-0.719768542
0.370624124,0.539910271,0.829325017,-0.493271394,-0.874139279
1.494381343,-1.189864392,-0.017384497,0.164963554,-0.954714756
0.039849703,1.316564563,2.105920812,-0.652664689,0.681006056
-1.573157989,0.998992437,0.267804591,-0.573202953,-0.577638835
0.959351998,-0.324234085,0.05281257,0.582252472,0.096017492
0.642191583,0.508117611,-1.901205694,-0.484172405,1.705134468
0.208641224,0.851550974,0.633403114,0.070588319,-0.858914962
0.134499874,2.064147778,0.635009469,1.588891661,-0.247060702
-0.541027028,-0.690772172,1.257473954,0.343345416,0.013360344
1.482114145,-0.233097265,0.747641193,0.481416618,-1.651222934
1.567352165,0.936041192,0.768888355,0.491251727,1.952686139
0.114275121,0.233267643,-0.001009783,-0.330640598,0.894287274
0.781487376,-0.481591914,2.283332474,1.014774816,1.168466808
-0.844529549,1.541566826,0.800857211,0.453418449,0.589664366
0.249484503,0.062168457,0.438853663,0.461604994,-2.99220817
0.028301668,0.548755527,0.410963175,-1.44393725,1.583738402
-0.421524557,-1.637116976,-0.767847842,0.128758098,0.357853905
1.600228814,-0.023262705,-0.128485649,0.211613099,-1.827555825
2.317194166,-0.27460777,0.440041263,1.950220291,0.192424035
-0.85476411,1.736372414,0.364681409,-0.364352823,0.560267983
1.62557525,0.54193495,-0.034614709,-1.130030874,0.302309415
1.919446999,0.218818092,0.57392718,0.064629986,0.281162818
0.381421821,-0.597606228,-0.84199741,-0.44489765,-0.879830398
-0.190556024,-0.054340936,2.319531784,-1.734933271,-1.735081762
-0.107680717,1.903927411,-1.863109413,-0.193011708,-0.817979312
-0.738251106,0.093995294,-1.277367573,-1.202207962,-0.12389069
1.413904675,-2.188505013,0.175790564,0.313477375,-1.140101183
0.859053857,0.151060929,-0.173941694,-1.015155489,-0.030896114
0.203593036,-0.441633305,1.116442483,-0.556556426,-0.766319597
0.696258478,-0.640456608,0.44733314,0.293951464,-0.181267976
-0.151291478,-0.941243801,-0.678033484,-1.509418641,-1.263178895
-0.048754065,0.139163448,0.395809694,-0.228087275,0.655414773
1.040994802,-0.793698028,0.589801315,1.447813971,0.956440711
0.167198556,-1.543939388,2.268566059,-0.597679186,0.355346259
0.68961518,-1.202523517,-0.757764002,-1.273440742,1.337167053
0.843594087,1.928399791,2.220468537,0.405737486,1.691421059
-0.596751693,-0.140763611,0.897194054,0.515360691,-0.174178519
-0.203869532,-1.049201504,-0.480351196,-1.265206123,0.176442624
-2.149146929,1.749239478,1.850983418,2.129822174,0.611985947
-0.950058106,-1.525064701,0.422424063,0.712765088,-1.008771179
-0.273088089,0.599108907,0.396375883,0.245290364,-1.393353041
-1.080895567,-0.977940262,1.232757362,-0.283003204,2.051941694
1.335391519,-0.583840367,-0.415463195,-1.827220527,0.796288056
0.709432098,-0.297925867,-0.689755853,1.936967278,1.283045378
0.576905843,-1.939738849,1.696302149,1.803493982,-0.461775196
-0.392401447,0.087840553,-0.14114211,-1.14922673,1.301287943
1.036314348,-0.051900568,0.312373972,-0.53775843,0.350026249
1.235201214,-0.710016629,0.186230622,0.935924432,-2.298051182
0.87900111,0.168005121,-1.597569788,1.170572485,-0.016631175
0.528132803,-1.505038036,-0.828514442,-0.422389612,1.48910012
0.357410879,-0.507338206,-0.279992714,-0.485574305,0.838451964
-1.880689139,0.409241816,-0.127361951,-0.525250762,0.633003007
-0.795005424,-1.628844583,-0.060383144,2.748866403,0.332830743
0.510541839,-0.183411186,-0.346703546,0.691601566,-0.977046367
0.321549171,-1.274250989,-0.55869019,-0.587486596,0.532656511
0.457771708,-0.550921468,-0.783403305,-0.804686579,0.017735479
-0.744662405,-1.080554615,0.144838507,-0.09780376,0.642949072
0.126829421,-2.169431809,-3.107942671,-0.428865596,0.735880983
-0.326674541,-0.478773844,-1.746676102,1.982097196,-0.254142875
-0.396861448,-0.459435366,-1.205801435,0.207558477,1.11507103
0.725319231,-0.421325001,0.125677989,2.019376309,-0.476957459
0.473309961,-1.676349419,-0.898421007,0.683429154,1.436520654
0.306911237,0.170893096,-0.738745513,-0.682939305,0.101514827
0.550970485,0.136031743,-1.898473951,-1.025918393,-0.216926997
-0.267975382,1.231497739,0.350992798,0.126073648,2.043253783
-0.146171944,0.88832414,-0.965614989,-1.258067814,-1.024234037
-1.526616774,0.304417726,-0.983986475,-1.600567866,-1.233738833
0.554062574,0.445218304,-1.380945161,-0.438796395,0.042970971
0.459862785,0.869783484,0.560092811,0.01841614,1.133480316
0.296645119,0.917664061,-1.437089852,-0.172492041,0.843126354
-0.111145016,-0.255754697,1.286184314,0.579195149,-0.77407498
0.22696561,-1.070192491,0.430302873,0.419095367,0.698427192
-0.319875812,-1.075803612,-1.019247967,-1.258216039,-0.590593761
-0.193601168,-1.172931365,-0.475274408,-0.007893408,-0.47769052
0.495177999,0.859996911,-0.732749527,-0.066931463,1.167629317
-0.906517444,0.06443611,0.650387238,-1.144383651,-0.222983807
-0.07876392,0.038539983,-1.489962097,0.886282972,0.287437968
-0.723369146,-0.090011085,-0.485525007,0.430574211,-0.772072971
0.946276914,0.850099275,-0.288889123,-0.679506613,-0.82805653
-0.384062418,1.342654267,-1.523773116,-0.400975307,0.839704182
0.83358956,-0.396207246,0.488555918,0.077918189,0.225882741
0.613893489,2.677370868,-0.902496954,0.264290055,-0.400546911
1.108854348,-1.515990891,-0.716216792,-0.361714629,0.335492496
0.432022863,0.139946267,-1.13516681,0.393360716,0.465456854
0.664799,-0.098017724,0.204820756,-0.092968011,0.656718351
-0.440326761,-0.475791939,-1.493031995,-0.326789418,-1.555259354
-1.867582733,-0.783931101,0.998370453,1.031963176,-0.881620931
-0.974674418,-1.539609735,1.816302888,-1.630027281,0.427480565
-2.225764886,1.80013328,0.243134733,0.153811956,-0.413947061
-0.716530466,-2.853822491,0.87412956,1.0407381,-0.983337059
0.2797433,0.242964318,-1.444094075,1.452251045,0.118736978
-1.067356254,0.675281353,-1.419714122,-2.041078849,-0.727441648
0.292251081,0.613648177,-0.1922404,-0.195882024,-1.296114754
0.455061264,0.819220639,-1.618226174,0.447167444,-0.234190376
-0.190992312,-1.552730185,0.001752743,-0.047385301,-0.933538876
0.86469455,-0.879451876,0.939099897,-1.327914221,-0.072757289
1.275460991,0.379291058,0.247716472,-0.694155232,-0.226636644
0.01540476,-1.0466826,-0.984168979,0.431296995,-0.720864404
0.015189845,0.619591223,0.318136078,-0.510985296,0.489169165
0.250065086,0.747541356,0.963802192,-0.632618473,0.155294838
-1.09695792,0.518737514,0.363480995,0.188701256,0.365590486
-0.47851616,0.572415996,-0.24027861,-1.008179635,0.548664252
-0.093743157,0.624388992,0.548143112,-1.275336442,-0.425933983
1.212785708,-0.755016627,-0.467088437,0.243328482,-2.2144156
0.785950647,1.108929606,-0.352427583,0.988447271,-2.017924336
-0.807338876,0.691869379,0.725532981,-0.484161382,1.751728135
-0.264492166,2.265685016,-0.383199744,-0.304181545,-0.741181075
1.204589126,1.506730717,-0.453061161,1.066414078,-0.210905539
1.602461296,-0.711044403,0.46401225,-0.432797995,0.346942815
1.232003442,-0.677100141,-0.247309784,0.201613817,1.471316923
-1.133243371,0.262715899,-0.250621881,-0.850482239,0.876875625
-1.312259412,0.916029967,-0.198485191,0.717385036,-0.097826151
-0.341343619,0.191581753,0.403381513,-1.065901775,-0.315621533
0.857761896,1.809350214,0.567152921,0.489834275,-1.698578545
0.106106806,1.799860471,2.280434247,0.157940801,1.166734353
0.872432199,-1.075405039,1.351065886,0.347353369,-1.209910596
0.626927274,0.70005452,1.019586891,1.084782414,-1.259070272
-1.623721749,-0.051011725,-0.080883745,-0.327197954,0.789718782
0.696734175,0.586437933,-0.233242711,1.656740234,-0.371927824
2.599280015,0.120190374,-1.84116203,-1.360360229,-1.334186938
-1.057026649,-0.00094183,0.595784613,-0.499976543,-0.177764619
-1.850835029,-0.80195537,-0.340776957,0.393556837,-1.078931155
0.678480517,-0.630576649,1.343332158,0.047034329,0.155983996
1.456439052,1.882555362,-0.364152935,0.882148608,-0.121323988
0.120696857,-0.425899162,-0.002932875,-0.854354938,-0.611541801
0.123865934,-1.735163215,-1.689665759,1.870309081,0.425961758
-0.336964042,-0.511556736,0.703880342,0.602259712,0.14562355
-0.276057702,0.865519035,-0.050445107,-0.293011457,-0.001402213
-0.058532822,-0.141500527,-1.618995232,-0.241350508,-1.379652161
-0.743143657,-1.592914972,1.651468018,-0.50314917,0.755103258
-1.306565465,1.721231394,-0.324734931,0.579397177,0.755645982
0.069640175,0.987484616,-1.115059223,-0.480366502,-0.553229082
-0.382985493,-1.115706168,-1.843877265,0.333760073,-0.921426446
1.726919676,1.527153078,-1.584042866,-2.385209548,-0.214455429
-1.41486719,-0.808527956,0.728445761,-0.538289873,-0.800506997
-1.239346797,1.913423161,-0.106677564,-0.981724669,1.424247589
2.566386768,0.919871987,0.199556835,2.334914533,1.749380521
0.328025486,0.339358218,2.135012952,1.389744591,-1.494903812
